corpus,file,method,original_bytes,compressed_bytes,ratio,bits_per_byte,entropy_bits_per_byte,gap_to_h0_bits_per_byte,seconds,throughput_mib_s
canterbury,cp.html,zlib_9,24603,7940,0.3227248709506971,2.5817989676055766,5.229136688128089,-2.6473377205225126,0.0009681000374257565,24.236389112155535
canterbury,cp.html,bzip2_9,24603,7624,0.3098809088322562,2.4790472706580498,5.229136688128089,-2.7500894174700394,0.0022567000705748796,10.397150030028518
canterbury,cp.html,lzma_9,24603,7644,0.31069381782709427,2.485550542616754,5.229136688128089,-2.743586145511335,0.019922900013625622,1.177702502672605
canterbury,cp.html,brotli_11,24603,6894,0.2802097305206682,2.2416778441653458,5.229136688128089,-2.9874588439627434,0.02958470000885427,0.7930872782053142
canterbury,cp.html,zstd_19,24603,7713,0.31349835385928543,2.5079868308742834,5.229136688128089,-2.7211498572538058,0.00866739999037236,2.7070689286989933
canterbury,cp.html,ppmd_6,24603,6560,0.26663415030687315,2.133073202454985,5.229136688128089,-3.096063485673104,0.0037378999404609203,6.277120730965772
canterbury,fields.c,raw,11150,11150,1.0,8.0,5.007698078197545,2.992301921802455,9.00006853044033e-07,11814.875177855387
canterbury,fields.c,rle,11150,19838,1.7791928251121076,14.233542600896861,5.007698078197545,9.225844522699315,0.002561400062404573,4.151428269251808
canterbury,fields.c,zlib_9,11150,3115,0.27937219730941704,2.2349775784753363,5.007698078197545,-2.7727204997222086,0.00036810000892728567,28.887444634727565
canterbury,fields.c,bzip2_9,11150,3039,0.2725560538116592,2.1804484304932736,5.007698078197545,-2.8272496477042712,0.0012725000269711018,8.356360237759878
canterbury,fields.c,lzma_9,11150,3028,0.2715695067264574,2.1725560538116593,5.007698078197545,-2.8351420243858856,0.020898399990983307,0.5088173559945994
canterbury,fields.c,brotli_11,11150,2717,0.24367713004484304,1.9494170403587443,5.007698078197545,-3.0582810378388006,0.014620800036936998,0.7272836370831974
canterbury,fields.c,zstd_19,11150,3015,0.2704035874439462,2.1632286995515697,5.007698078197545,-2.844469378645975,0.003305800026282668,3.2166097596311336
canterbury,fields.c,ppmd_6,11150,2635,0.23632286995515694,1.8905829596412556,5.007698078197545,-3.1171151185562893,0.001727099996060133,6.156834376808984
canterbury,grammar.lsp,raw,3721,3721,1.0,8.0,4.632267666454029,3.3677323335459706,1.500011421740055e-06,2365.7300737291425
canterbury,grammar.lsp,rle,3721,6622,1.7796291319537758,14.237033055630206,4.632267666454029,9.604765389176176,0.0008376999758183956,4.236149258427291
canterbury,grammar.lsp,zlib_9,3721,1222,0.32840634238108035,2.627250739048643,4.632267666454029,-2.0050169274053866,0.00014570006169378757,24.35566663523907
canterbury,grammar.lsp,bzip2_9,3721,1283,0.3447997850040312,2.7583982800322495,4.632267666454029,-1.87386938642178,0.0007087999256327748,5.006521590954818
canterbury,grammar.lsp,lzma_9,3721,1292,0.347218489653319,2.777747917226552,4.632267666454029,-1.8545197492274776,0.01710250007454306,0.20749142615878444
canterbury,grammar.lsp,brotli_11,3721,1124,0.30206933619994625,2.41655468959957,4.632267666454029,-2.2157129768544594,0.005192300071939826,0.6834393394413167
canterbury,grammar.lsp,zstd_19,3721,1211,0.3254501478097286,2.6036011824778287,4.632267666454029,-2.0286664839762008,0.0008908000309020281,3.9836349441460004
canterbury,grammar.lsp,ppmd_6,3721,1050,0.28218220908357966,2.2574576726686373,4.632267666454029,-2.374809993785392,0.0006278000073507428,5.652472267916194
canterbury,kennedy.xls,raw,1029744,1029744,1.0,8.0,3.573470858581421,4.426529141418579,1.9000144675374031e-06,516859.43557380064
canterbury,kennedy.xls,rle,1029744,1731778,1.68175585388213,13.45404683105704,3.573470858581421,9.880575972475619,0.19003289996180683,5.16773887821956
canterbury,kennedy.xls,zlib_9,1029744,207029,0.20104899858605635,1.6083919886884508,3.573470858581421,-1.9650788698929702,0.4681366999866441,2.097764190035635
canterbury,kennedy.xls,bzip2_9,1029744,130280,0.1265168818657841,1.0121350549262729,3.573470858581421,-2.5613358036551483,0.047253499971702695,20.782384497688486
canterbury,kennedy.xls,lzma_9,1029744,49116,0.04769729175406703,0.3815783340325362,3.573470858581421,-3.191892524548885,0.4002003000350669,2.453872236446069
canterbury,kennedy.xls,brotli_11,1029744,61498,0.05972163955313165,0.4777731164250532,3.573470858581421,-3.095697742156368,2.2245848999591544,0.44144883177597255
canterbury,kennedy.xls,zstd_19,1029744,64825,0.06295253966034277,0.5036203172827421,3.573470858581421,-3.069850541298679,0.5016327999765053,1.9576877854068409
canterbury,kennedy.xls,ppmd_6,1029744,135402,0.13149093366895073,1.0519274693516059,3.573470858581421,-2.521543389229815,0.13397369999438524,7.330098409722163
canterbury,lcet10.txt,raw,426754,426754,1.0,8.0,4.669117836842554,3.3308821631574457,7.700000423938036e-05,5285.510478134332
canterbury,lcet10.txt,rle,426754,804622,1.885446885090708,15.083575080725664,4.669117836842554,10.41445724388311,0.08403290004935116,4.843154633299785
canterbury,lcet10.txt,zlib_9,426754,144439,0.3384596277949357,2.7076770223594857,4.669117836842554,-1.9614408144830686,0.028671400039456785,14.194783954168694
canterbury,lcet10.txt,bzip2_9,426754,107706,0.25238427759318016,2.0190742207454413,4.669117836842554,-2.650043616097113,0.028597700060345232,14.231365751960393
canterbury,lcet10.txt,lzma_9,426754,119500,0.2800208082408132,2.2401664659265057,4.669117836842554,-2.4289513709160486,0.15285620000213385,2.6625307263817324
canterbury,lcet10.txt,brotli_11,426754,113416,0.26576435135933113,2.126114810874649,4.669117836842554,-2.5430030259679053,0.6695686000166461,0.6078306677068113
canterbury,lcet10.txt,zstd_19,426754,121336,0.2843230526251658,2.274584421001326,4.669117836842554,-2.394533415841228,0.14374329999554902,2.8313272982896245
canterbury,lcet10.txt,ppmd_6,426754,96306,0.22567099546811512,1.805367963744921,4.669117836842554,-2.8637498730976336,0.06819580006413162,5.967879676474255
canterbury,plrabn12.txt,raw,481861,481861,1.0,8.0,4.531362798245583,3.468637201754417,1.700012944638729e-06,270314.68273642403
canterbury,plrabn12.txt,rle,481861,944618,1.9603537119625785,15.682829695700628,4.531362798245583,11.151466897455045,0.10255850001703948,4.480744742771028
canterbury,plrabn12.txt,zlib_9,481861,194332,0.4032947260724566,3.2263578085796527,4.531362798245583,-1.3050049896659304,0.05751309997867793,7.99015285123213
canterbury,plrabn12.txt,bzip2_9,481861,145577,0.30211409514362025,2.416912761148962,4.531362798245583,-2.114450037096621,0.033948399941436946,13.536380523693717
canterbury,plrabn12.txt,lzma_9,481861,165412,0.3432774181766111,2.746219345412889,4.531362798245583,-1.7851434528326942,0.2089816000079736,2.19894220237714
canterbury,plrabn12.txt,brotli_11,481861,163267,0.33882592697894204,2.7106074158315363,4.531362798245583,-1.8207553824140468,0.7551199999870732,0.608563486314359
canterbury,plrabn12.txt,zstd_19,481861,167438,0.3474819501889549,2.779855601511639,4.531362798245583,-1.751507196733944,0.17060179996769875,2.693631953853006
canterbury,plrabn12.txt,ppmd_6,481861,132194,0.2743405255872544,2.1947242046980353,4.531362798245583,-2.3366385935475478,0.09612600004766136,4.780584436572653
canterbury,ptt5,raw,513216,513216,1.0,8.0,1.210175941358675,6.789824058641325,9.899958968162537e-06,49438.68146754469
canterbury,ptt5,rle,513216,152568,0.2972783389450056,2.378226711560045,1.210175941358675,1.1680507702013698,0.033415199955925345,14.647253902844295
canterbury,ptt5,zlib_9,513216,52221,0.10175247848858959,0.8140198279087167,1.210175941358675,-0.39615611344995827,0.06979830004274845,7.012218315761108
canterbury,ptt5,bzip2_9,513216,49759,0.09695527808953736,0.7756422247162988,1.210175941358675,-0.43453371664237617,0.010223899967968464,47.8722326609387
canterbury,ptt5,lzma_9,513216,41992,0.081821299413892,0.654570395311136,1.210175941358675,-0.555605546047539,0.11047339998185635,4.430396077690499
canterbury,ptt5,brotli_11,513216,40939,0.07976953173712432,0.6381562538969946,1.210175941358675,-0.5720196874616804,0.8992577000753954,0.5442721457127522
canterbury,ptt5,zstd_19,513216,43640,0.08503242299538596,0.6802593839630877,1.210175941358675,-0.5299165573955873,0.2532088999869302,1.9329530596831839
canterbury,ptt5,ppmd_6,513216,49000,0.09547636862451678,0.7638109489961342,1.210175941358675,-0.4463649923625408,0.05614820006303489,8.716947603294107
canterbury,sum,raw,38240,38240,1.0,8.0,5.328990058101005,2.671009941898995,2.500019036233425e-06,14587.291268917346
canterbury,sum,rle,38240,58594,1.5322698744769874,12.258158995815899,5.328990058101005,6.929168937714894,0.006495799985714257,5.614166990913752
canterbury,sum,zlib_9,38240,12838,0.33572175732217574,2.685774058577406,5.328990058101005,-2.643215999523599,0.011148500023409724,3.271158073534385
canterbury,sum,bzip2_9,38240,12909,0.3375784518828452,2.7006276150627615,5.328990058101005,-2.6283624430382435,0.003127099946141243,11.662085154769725
canterbury,sum,lzma_9,38240,9452,0.24717573221757322,1.9774058577405857,5.328990058101005,-3.3515842003604193,0.02486130001489073,1.4668784752821498
canterbury,sum,brotli_11,38240,10144,0.26527196652719665,2.122175732217573,5.328990058101005,-3.206814325883432,0.049110000021755695,0.7425881865856134
canterbury,sum,zstd_19,38240,11107,0.29045502092050207,2.3236401673640166,5.328990058101005,-3.0053498907369884,0.009748399956151843,3.7409734954874434
