corpus,file,block_size,method,original_bytes,encoded_bytes,ratio
canterbury,grammar.lsp,256,zero_trim,3721,3775,1.014512227895727
canterbury,grammar.lsp,256,raw,3721,3721,1.0
canterbury,kennedy.xls,256,fisa,1029744,1029753,1.0000087400363586
canterbury,kennedy.xls,256,zero_block_bitmap,1029744,1030260,1.0005010954178903
canterbury,kennedy.xls,256,zero_trim,1029744,1037539,1.0075698426016564
canterbury,kennedy.xls,256,raw,1029744,1029744,1.0
canterbury,lcet10.txt,256,fisa,426754,426763,1.0000210894332566
canterbury,lcet10.txt,256,zero_block_bitmap,426754,426976,1.0005202060203302
canterbury,lcet10.txt,256,zero_trim,426754,431768,1.011749157594305
canterbury,lcet10.txt,256,raw,426754,426754,1.0
canterbury,plrabn12.txt,256,fisa,481861,481870,1.0000186775854447
canterbury,plrabn12.txt,256,zero_block_bitmap,481861,482110,1.0005167465306386
canterbury,plrabn12.txt,256,zero_trim,481861,487520,1.011744050670214
canterbury,plrabn12.txt,256,raw,481861,481861,1.0
canterbury,ptt5,256,fisa,513216,432318,0.8423704638982417
canterbury,ptt5,256,zero_block_bitmap,513216,425736,0.8295454545454546
canterbury,ptt5,256,zero_trim,513216,312674,0.6092444506796358
canterbury,ptt5,256,raw,513216,513216,1.0
canterbury,sum,256,fisa,38240,38249,1.0002353556485355
canterbury,sum,256,zero_block_bitmap,38240,38271,1.000810669456067
canterbury,sum,256,zero_trim,38240,38254,1.000366108786611
canterbury,sum,256,raw,38240,38240,1.0
canterbury,xargs.1,256,fisa,4227,4235,1.001892595221197
canterbury,xargs.1,256,zero_block_bitmap,4227,4240,1.0030754672344453
canterbury,xargs.1,256,zero_trim,4227,4287,1.014194464158978
canterbury,xargs.1,256,raw,4227,4227,1.0
silesia,dickens,256,fisa,10192446,10192456,1.0000009811187618
silesia,dickens,256,zero_block_bitmap,10192446,10197438,1.000489774485928
silesia,dickens,256,zero_trim,10192446,10311903,1.0117201503937328
silesia,dickens,256,raw,10192446,10192446,1.0
silesia,mozilla,256,fisa,51220480,50900878,0.9937602693297681
silesia,mozilla,256,zero_block_bitmap,51220480,49945026,0.975098749562675
silesia,mozilla,256,zero_trim,51220480,49596119,0.968286884464964
silesia,mozilla,256,raw,51220480,51220480,1.0
silesia,mr,256,fisa,9970564,7708787,0.7731545577562112
silesia,mr,256,zero_block_bitmap,9970564,7512596,0.7534775364763718
silesia,mr,256,zero_trim,9970564,7300457,0.7322010068838634
silesia,mr,256,raw,9970564,9970564,1.0
silesia,nci,256,fisa,33553445,33553455,1.0000002980319904
silesia,nci,256,zero_block_bitmap,33553445,33569845,1.0004887724643476
silesia,nci,256,zero_trim,33553445,33946664,1.0117191841255049
silesia,nci,256,raw,33553445,33553445,1.0
silesia,ooffice,256,fisa,6152192,6152202,1.0000016254369175
silesia,ooffice,256,zero_block_bitmap,6152192,6124235,0.9954557660099035
silesia,ooffice,256,zero_trim,6152192,6179061,1.0043673864534788
